Community,Year,Volume,Events,Outfalls
Saco,2008,100000,12,6
Saco,2009,27015,9,5
Saco,2010,924014,10,4
Saco,2011,1372128,4,4
Saco,2012,2964929,21,4
Saco,2013,1100985,15,4
Saco,2014,1739425,19,4
Saco,2015,1057000,13,4
Saco,2016,599000,12,4
Saco,2017,304000,7,4
Saco,2018,2139000,15,2
Saco,2019,2675000,6,2
Sanford S.D.,1987,NA,10,3
Sanford S.D.,1988,NA,10,3
Sanford S.D.,1989,NA,10,NA
Sanford S.D.,1990,NA,10,NA
Sanford S.D.,1991,NA,10,NA
Sanford S.D.,1992,NA,10,NA
Sanford S.D.,1993,NA,10,NA
Sanford S.D.,1994,NA,10,NA
Sanford S.D.,1995,NA,10,NA
Sanford S.D.,1996,NA,10,NA
Sanford S.D.,1997,4000000,10,NA
Sanford S.D.,1998,2458950,10,NA
Sanford S.D.,1999,2470950,3,NA
Sanford S.D.,2000,55000,1,NA
Sanford S.D.,2001,0,0,NA
Sanford S.D.,2002,0,0,2
Sanford S.D.,2003,0,0,2
Sanford S.D.,2004,0,0,2
Sanford S.D.,2005,0,0,2
Sanford S.D.,2006,15000,1,2
Sanford S.D.,2007,0,0,2
Sanford S.D.,2008,0,0,1
Sanford S.D.,2009,0,0,1
Sanford S.D.,2010,0,0,1
Sanford S.D.,2011,0,0,1
Sanford S.D.,2012,0,0,1
Sanford S.D.,2013,NA,0,0
Sanford S.D.,2014,NA,NA,NA
Sanford S.D.,2015,NA,NA,NA
Sanford S.D.,2016,NA,NA,NA
Sanford S.D.,2017,NA,NA,NA
Sanford S.D.,2018,NA,NA,NA
Sanford S.D.,2019,NA,NA,NA
Skowhegan,1987,NA,160,10
Skowhegan,1988,NA,160,10
Skowhegan,1989,NA,160,NA
Skowhegan,1990,NA,160,NA
Skowhegan,1991,NA,160,NA
Skowhegan,1992,NA,160,NA
Skowhegan,1993,NA,160,NA
Skowhegan,1994,NA,160,NA
Skowhegan,1995,NA,160,NA
Skowhegan,1996,NA,160,NA
Skowhegan,1997,10917612,108,NA
Skowhegan,1998,23930371,111,NA
Skowhegan,1999,23930371,111,NA
Skowhegan,2000,4110833,161,NA
Skowhegan,2001,12315897,95,NA
Skowhegan,2002,10883416,115,9
Skowhegan,2003,22768111,77,9
Skowhegan,2004,12082768,53,9
Skowhegan,2005,47873323,81,9
Skowhegan,2006,31314358,81,9
Skowhegan,2007,21596631,55,9
Skowhegan,2008,61963453,58,8
Skowhegan,2009,6073919,17,7
Skowhegan,2010,7550855,23,7
Skowhegan,2011,4757994,21,7
Skowhegan,2012,4238875,25,7
Skowhegan,2013,4746538,36,7
Skowhegan,2014,3861193,28,7
Skowhegan,2015,6786698,20,7
Skowhegan,2016,4168672,23,7
Skowhegan,2017,738844,23,7
Skowhegan,2018,4379019,21,5
Skowhegan,2019,1711809,23,5
South Portland,1987,NA,23,28
South Portland,1988,NA,23,28
South Portland,1989,NA,23,NA
South Portland,1990,NA,23,NA
South Portland,1991,NA,23,NA
South Portland,1992,NA,23,NA
South Portland,1993,NA,23,NA
South Portland,1994,NA,23,NA
South Portland,1995,NA,23,NA
South Portland,1996,NA,23,NA
South Portland,1997,31046134,21,NA
South Portland,1998,182646264,23,NA
South Portland,1999,50000000,23,NA
South Portland,2000,17535575,15,NA
South Portland,2001,49503494,12,NA
South Portland,2002,4467429,11,8
South Portland,2003,7896125,10,8
South Portland,2004,19812914,10,6
South Portland,2005,26810104,20,8
South Portland,2006,26118706,20,7
South Portland,2007,15727553,5,5
South Portland,2008,12883433,10,6
South Portland,2009,12183196,10,6
South Portland,2010,42095393,12,6
South Portland,2011,14906594,13,6
South Portland,2012,37134882,12,6
South Portland,2013,1858579,7,6
South Portland,2014,15531600,9,6
South Portland,2015,11161602,2,6
South Portland,2016,6240350,3,6
South Portland,2017,2033229,2,6
South Portland,2018,3533710,4,4
South Portland,2019,8651990,3,4
Westbrook,1987,NA,50,7
Westbrook,1988,NA,50,7
Westbrook,1989,NA,NA,NA
Westbrook,1990,NA,NA,NA
Westbrook,1991,NA,NA,NA
Westbrook,1992,NA,NA,NA
Westbrook,1993,NA,NA,NA
Westbrook,1994,NA,NA,NA
Westbrook,1995,NA,NA,NA
Westbrook,1996,NA,NA,NA
Westbrook,1997,38407000,NA,NA
Westbrook,1998,49090000,NA,NA
Westbrook,1999,21391000,NA,NA
Westbrook,2000,1229000,NA,NA
Westbrook,2001,2187000,NA,NA
Westbrook,2002,271000,NA,5
Westbrook,2003,7000,NA,5
Westbrook,2004,944000,NA,5
Westbrook,2005,11119000,17,5
Westbrook,2006,40636729,31,5
Westbrook,2007,15879000,55,5
Westbrook,2008,7379066,50,5
Westbrook,2009,7069280,11,5
Westbrook,2010,14105989,12,5
Westbrook,2011,12202000,16,5
Westbrook,2012,18903485,13,5
Westbrook,2013,6222000,60,5
Westbrook,2014,11932000,70,5
Westbrook,2015,4423000,49,5
Westbrook,2016,7447100,38,5
Westbrook,2017,1285000,2,5
Westbrook,2018,1631000,6,5
Westbrook,2019,9816000,4,5
Westbrook (PWD),1987,NA,NA,NA
Westbrook (PWD),1988,NA,NA,NA
Westbrook (PWD),1989,NA,50,NA
Westbrook (PWD),1990,NA,50,NA
Westbrook (PWD),1991,NA,50,NA
Westbrook (PWD),1992,NA,50,NA
Westbrook (PWD),1993,NA,50,NA
Westbrook (PWD),1994,NA,50,NA
Westbrook (PWD),1995,NA,50,NA
Westbrook (PWD),1996,NA,50,NA
Westbrook (PWD),1997,NA,34,NA
Westbrook (PWD),1998,NA,30,NA
Westbrook (PWD),1999,NA,19,NA
Westbrook (PWD),2000,NA,16,NA
Westbrook (PWD),2001,NA,15,NA
Westbrook (PWD),2002,NA,33,NA
Westbrook (PWD),2003,NA,7,NA
Westbrook (PWD),2004,NA,13,NA
Westbrook (PWD),2005,NA,NA,NA
Westbrook (PWD),2006,NA,NA,NA
Westbrook (PWD),2007,NA,NA,NA
Westbrook (PWD),2008,NA,NA,NA
Westbrook (PWD),2009,NA,NA,NA
Westbrook (PWD),2010,NA,NA,NA
Westbrook (PWD),2011,NA,NA,NA
Westbrook (PWD),2012,NA,NA,NA
Westbrook (PWD),2013,NA,NA,NA
Westbrook (PWD),2014,NA,NA,NA
Westbrook (PWD),2015,NA,NA,NA
Westbrook (PWD),2016,NA,NA,NA
Westbrook (PWD),2017,NA,NA,NA
Westbrook (PWD),2018,NA,NA,NA
Westbrook (PWD),2019,NA,NA,NA
Winslow,1987,NA,20,2
Winslow,1988,NA,20,2
Winslow,1989,NA,20,NA
Winslow,1990,NA,20,NA
Winslow,1991,NA,20,NA
Winslow,1992,NA,20,NA
Winslow,1993,NA,20,NA
Winslow,1994,NA,20,NA
Winslow,1995,NA,20,NA
Winslow,1996,NA,20,NA
Winslow,1997,900000,10,NA
Winslow,1998,500000,10,NA
Winslow,1999,200000,1,NA
Winslow,2000,0,0,NA
Winslow,2001,0,0,NA
Winslow,2002,0,0,2
Winslow,2003,0,0,2
Winslow,2004,0,0,2
Winslow,2005,23652,1,2
Winslow,2006,0,0,1
Winslow,2007,725000,3,1
Winslow,2008,235000,3,1
Winslow,2009,5001,3,1
Winslow,2010,200000,2,2
Winslow,2011,63354,3,2
Winslow,2012,1327119,9,2
Winslow,2013,7070,1,2
Winslow,2014,0,0,2
Winslow,2015,164549,1,2
Winslow,2016,70144,3,3
Winslow,2017,237400,1,3
Winslow,2018,601045,1,3
Winslow,2019,3654519,2,2
Winterport S.D.,1987,NA,8,1
Winterport S.D.,1988,NA,8,1
Winterport S.D.,1989,NA,8,NA
Winterport S.D.,1990,NA,8,NA
Winterport S.D.,1991,NA,8,NA
Winterport S.D.,1992,NA,8,NA
Winterport S.D.,1993,NA,8,NA
Winterport S.D.,1994,NA,8,NA
Winterport S.D.,1995,NA,8,NA
Winterport S.D.,1996,NA,8,NA
Winterport S.D.,1997,680000,8,NA
Winterport S.D.,1998,680000,8,NA
Winterport S.D.,1999,680000,8,NA
Winterport S.D.,2000,680000,8,NA
Winterport S.D.,2001,70500,3,NA
Winterport S.D.,2002,144000,3,1
Winterport S.D.,2003,570000,8,1
Winterport S.D.,2004,91000,1,1
Winterport S.D.,2005,677800,2,1
Winterport S.D.,2006,0,0,1
Winterport S.D.,2007,102000,1,1
Winterport S.D.,2008,252000,1,1
Winterport S.D.,2009,18000,1,1
Winterport S.D.,2010,0,0,1
Winterport S.D.,2011,0,0,1
Winterport S.D.,2012,0,0,1
Winterport S.D.,2013,0,0,1
Winterport S.D.,2014,60000,1,1
Winterport S.D.,2015,90000,2,1
Winterport S.D.,2016,0,0,1
Winterport S.D.,2017,0,0,1
Winterport S.D.,2018,138000,1,1
Winterport S.D.,2019,0,0,1
Yarmouth,1987,NA,4,2
Yarmouth,1988,NA,4,2
Yarmouth,1989,NA,4,NA
Yarmouth,1990,NA,4,NA
Yarmouth,1991,NA,4,NA
Yarmouth,1992,NA,4,NA
Yarmouth,1993,NA,4,NA
Yarmouth,1994,NA,4,NA
Yarmouth,1995,NA,4,NA
Yarmouth,1996,NA,4,NA
Yarmouth,1997,0,0,NA
Yarmouth,1998,500,4,NA
Yarmouth,1999,500,4,NA
Yarmouth,2000,200,2,NA
Yarmouth,2001,200,1,NA
Yarmouth,2002,0,0,1
Yarmouth,2003,NA,NA,0
Yarmouth,2004,NA,NA,NA
Yarmouth,2005,NA,NA,NA
Yarmouth,2006,NA,NA,NA
Yarmouth,2007,NA,NA,NA
Yarmouth,2008,NA,NA,NA
Yarmouth,2009,NA,NA,NA
Yarmouth,2010,NA,NA,NA
Yarmouth,2011,NA,NA,NA
Yarmouth,2012,NA,NA,NA
Yarmouth,2013,NA,NA,NA
Yarmouth,2014,NA,NA,NA
Yarmouth,2015,NA,NA,NA
Yarmouth,2016,NA,NA,NA
Yarmouth,2017,NA,NA,NA
Yarmouth,2018,NA,NA,NA
Yarmouth,2019,NA,NA,NA
